sensor_id,city,zone_type,pm25,pm10,co2_ppm,temperature_c,humidity_pct,wind_speed_kmh,aqi_value,severity,recorded_at
PKS_KHI_IND_01,Karachi,industrial,81.68,86.53,629.27,41.6,60.09,49.3,164.5,UNHEALTHY,2026-07-19T22:58:54.590986+00:00
PKS_KHI_TRF_02,Karachi,traffic,52.55,67.39,491.81,35.88,36.8,47.01,143.0,UNHEALTHY FOR SENSITIVE,2026-07-19T22:58:54.591062+00:00
PKS_LHR_RES_01,Lahore,residential,36.13,38.92,400.0,30.91,45.42,6.77,102.5,UNHEALTHY FOR SENSITIVE,2026-07-19T22:58:54.591080+00:00
PKS_LHR_IND_02,Lahore,industrial,69.2,76.43,572.19,39.12,17.39,28.87,158.1,UNHEALTHY,2026-07-19T22:58:54.591094+00:00
PKS_ISB_PRK_01,Islamabad,park,8.77,10.46,400.0,28.62,47.2,18.3,36.5,GOOD,2026-07-19T22:58:54.591109+00:00
PKS_ISB_TRF_02,Islamabad,traffic,52.22,66.06,400.0,28.41,78.51,12.02,142.2,UNHEALTHY FOR SENSITIVE,2026-07-19T22:58:54.591125+00:00
PKS_PEW_IND_01,Peshawar,industrial,88.33,112.19,715.0,32.57,28.02,8.05,168.0,UNHEALTHY,2026-07-19T22:58:54.591157+00:00
PKS_PEW_RES_02,Peshawar,residential,31.72,38.02,400.0,30.02,41.76,18.67,92.3,MODERATE,2026-07-19T22:58:54.591173+00:00
PKS_MUL_TRF_01,Multan,traffic,56.82,72.8,451.98,31.83,80.1,23.14,151.7,UNHEALTHY,2026-07-19T22:58:54.591188+00:00
PKS_MUL_PRK_02,Multan,park,15.76,18.5,400.0,23.47,50.76,28.64,58.7,MODERATE,2026-07-19T22:58:54.591202+00:00
PKS_KHI_IND_01,Karachi,industrial,199.43,239.85,552.6,28.91,82.62,39.17,249.5,VERY UNHEALTHY,2026-07-19T22:59:11.723580+00:00
PKS_KHI_TRF_02,Karachi,traffic,50.88,54.98,485.96,33.81,26.31,16.1,138.9,UNHEALTHY FOR SENSITIVE,2026-07-19T22:59:11.723640+00:00
PKS_LHR_RES_01,Lahore,residential,32.43,34.44,400.0,36.48,54.63,45.64,93.8,MODERATE,2026-07-19T22:59:11.723677+00:00
PKS_LHR_IND_02,Lahore,industrial,68.71,82.08,478.29,36.5,73.08,50.74,157.8,UNHEALTHY,2026-07-19T22:59:11.723707+00:00
PKS_ISB_PRK_01,Islamabad,park,11.26,13.48,400.0,29.73,37.77,32.43,46.9,GOOD,2026-07-19T22:59:11.723738+00:00
PKS_ISB_TRF_02,Islamabad,traffic,47.64,53.65,400.0,30.38,56.15,17.43,130.9,UNHEALTHY FOR SENSITIVE,2026-07-19T22:59:11.723766+00:00
PKS_PEW_IND_01,Peshawar,industrial,90.9,115.33,679.22,37.79,38.53,19.37,169.3,UNHEALTHY,2026-07-19T22:59:11.723794+00:00
PKS_PEW_RES_02,Peshawar,residential,37.75,47.03,400.0,30.77,28.59,26.19,106.5,UNHEALTHY FOR SENSITIVE,2026-07-19T22:59:11.723821+00:00
PKS_MUL_TRF_01,Multan,traffic,44.85,47.36,517.88,44.49,24.45,32.7,124.0,UNHEALTHY FOR SENSITIVE,2026-07-19T22:59:11.723847+00:00
PKS_MUL_PRK_02,Multan,park,13.37,15.25,400.0,31.49,75.29,1.33,53.7,MODERATE,2026-07-19T22:59:11.723874+00:00
PKS_KHI_IND_01,Karachi,industrial,319.43,390.7,511.13,34.58,67.27,47.8,355.9,HAZARDOUS,2026-07-19T23:00:00.739282+00:00
PKS_KHI_TRF_02,Karachi,traffic,66.42,84.11,421.04,35.66,10.37,25.56,156.6,UNHEALTHY,2026-07-19T23:00:00.739323+00:00
PKS_LHR_RES_01,Lahore,residential,22.45,28.08,400.0,33.99,33.3,29.03,72.8,MODERATE,2026-07-19T23:00:00.739341+00:00
PKS_LHR_IND_02,Lahore,industrial,84.2,93.77,566.96,31.92,55.19,14.33,165.8,UNHEALTHY,2026-07-19T23:00:00.739360+00:00
PKS_ISB_PRK_01,Islamabad,park,6.97,7.44,400.0,31.93,39.88,57.61,29.0,GOOD,2026-07-19T23:00:00.739377+00:00
PKS_ISB_TRF_02,Islamabad,traffic,57.75,61.98,476.12,39.0,86.75,7.19,152.2,UNHEALTHY,2026-07-19T23:00:00.739393+00:00
PKS_PEW_IND_01,Peshawar,industrial,64.52,75.84,566.04,33.69,68.24,43.7,155.7,UNHEALTHY,2026-07-19T23:00:00.739410+00:00
PKS_PEW_RES_02,Peshawar,residential,21.36,27.25,400.0,26.69,62.92,28.98,70.5,MODERATE,2026-07-19T23:00:00.739426+00:00
PKS_MUL_TRF_01,Multan,traffic,51.12,57.15,466.13,35.45,83.75,8.09,139.5,UNHEALTHY FOR SENSITIVE,2026-07-19T23:00:00.739442+00:00
PKS_MUL_PRK_02,Multan,park,38.37,46.34,400.0,26.42,53.08,37.96,108.1,UNHEALTHY FOR SENSITIVE,2026-07-19T23:00:00.739458+00:00
PKS_KHI_IND_01,Karachi,industrial,87.26,109.8,642.51,39.68,71.84,25.84,167.4,UNHEALTHY,2026-07-19T23:00:38.129947+00:00
PKS_KHI_TRF_02,Karachi,traffic,48.98,59.02,429.55,37.23,84.79,16.93,134.2,UNHEALTHY FOR SENSITIVE,2026-07-19T23:00:38.130014+00:00
PKS_LHR_RES_01,Lahore,residential,28.27,35.77,400.0,34.42,62.68,38.35,85.0,MODERATE,2026-07-19T23:00:38.130053+00:00
PKS_LHR_IND_02,Lahore,industrial,79.03,95.88,610.97,35.6,40.27,58.62,163.1,UNHEALTHY,2026-07-19T23:00:38.130088+00:00
PKS_ISB_PRK_01,Islamabad,park,10.81,13.42,400.0,24.11,48.76,42.3,45.1,GOOD,2026-07-19T23:00:38.130122+00:00
PKS_ISB_TRF_02,Islamabad,traffic,64.81,79.5,425.07,33.37,71.52,22.91,155.8,UNHEALTHY,2026-07-19T23:00:38.130161+00:00
PKS_PEW_IND_01,Peshawar,industrial,62.69,73.18,561.55,37.18,41.08,30.16,154.7,UNHEALTHY,2026-07-19T23:00:38.130196+00:00
PKS_PEW_RES_02,Peshawar,residential,38.21,45.74,400.0,29.82,57.81,45.25,107.7,UNHEALTHY FOR SENSITIVE,2026-07-19T23:00:38.130229+00:00
PKS_MUL_TRF_01,Multan,traffic,54.71,66.83,508.46,38.02,42.68,48.62,148.3,UNHEALTHY FOR SENSITIVE,2026-07-19T23:00:38.130301+00:00
PKS_MUL_PRK_02,Multan,park,6.25,6.71,400.0,32.89,14.03,44.45,26.0,GOOD,2026-07-19T23:00:38.130341+00:00
PKS_KHI_IND_01,Karachi,industrial,87.28,104.51,576.9,35.09,22.16,58.56,167.4,UNHEALTHY,2026-07-19T23:01:06.796331+00:00
PKS_KHI_TRF_02,Karachi,traffic,36.16,43.43,511.9,28.17,45.84,22.36,102.6,UNHEALTHY FOR SENSITIVE,2026-07-19T23:01:06.796412+00:00
PKS_LHR_RES_01,Lahore,residential,78.43,101.58,400.0,27.21,34.21,27.14,162.8,UNHEALTHY,2026-07-19T23:01:06.796451+00:00
PKS_LHR_IND_02,Lahore,industrial,303.3,333.68,614.04,36.14,17.98,31.41,343.0,HAZARDOUS,2026-07-19T23:01:06.796490+00:00
PKS_ISB_PRK_01,Islamabad,park,11.86,12.48,400.0,24.11,49.69,6.62,49.4,GOOD,2026-07-19T23:01:06.796530+00:00
PKS_ISB_TRF_02,Islamabad,traffic,41.59,52.87,405.44,36.42,25.93,6.03,116.0,UNHEALTHY FOR SENSITIVE,2026-07-19T23:01:06.796566+00:00
PKS_PEW_IND_01,Peshawar,industrial,60.26,72.27,638.97,43.07,78.7,1.84,153.5,UNHEALTHY,2026-07-19T23:01:06.796602+00:00
PKS_PEW_RES_02,Peshawar,residential,21.6,25.8,400.0,32.55,62.53,30.45,71.0,MODERATE,2026-07-19T23:01:06.796641+00:00
PKS_MUL_TRF_01,Multan,traffic,42.43,44.78,414.25,40.75,39.28,52.63,118.1,UNHEALTHY FOR SENSITIVE,2026-07-19T23:01:06.796683+00:00
PKS_MUL_PRK_02,Multan,park,8.0,10.2,400.0,29.44,31.76,55.1,33.3,GOOD,2026-07-19T23:01:06.796718+00:00
PKS_KHI_IND_01,Karachi,industrial,71.39,77.29,590.7,33.06,34.74,27.72,159.2,UNHEALTHY,2026-07-19T23:01:35.125536+00:00
