LOCATION_ID,STATION_NAME,CITY,COUNTRY_CODE,LATITUDE,LONGITUDE,POLLUTANT_TYPE,POLLUTANT_VALUE,UNIT,RECORDED_AT
8088,Peshawar,N/A,PK,34.005852,71.53775,pm25,90.0,µg/m³,2025-03-24T23:00:00Z
8156,Karachi,N/A,PK,24.8415,67.0091,pm25,62.0,µg/m³,2025-03-04T12:00:00Z
8634,US Diplomatic Post: Islamabad,Islamabad,PK,33.7235,73.11822,pm25,16.0,µg/m³,2025-03-04T12:00:00Z
233470,Islamabad,N/A,PK,33.725614,73.11602,pm25,62.0,µg/m³,2026-02-16T13:00:00Z
1894633,"Karachi, Pakistan",,PK,24.811053632574033,67.05825434267292,pm10,49.84,µg/m³,2024-02-28T12:42:56Z
1894633,"Karachi, Pakistan",,PK,24.811053632574033,67.05825434267292,pm25,24.71,µg/m³,2024-02-28T12:42:56Z
1894641,Lahore,,PK,31.54815,74.34396,pm10,179.0,µg/m³,2024-04-24T02:03:48Z
1894641,Lahore,,PK,31.54815,74.34396,pm25,40.53,µg/m³,2026-07-19T20:56:42Z
3089895,"Soomra Society, Scheme 33, Karachi",,PK,24.960929,67.161759,pm25,52.134921073913574,µg/m³,2024-10-25T16:00:00Z
3089895,"Soomra Society, Scheme 33, Karachi",,PK,24.960929,67.161759,pm10,62.44032700856527,µg/m³,2024-10-25T16:00:00Z
3182341,"Soomra Society, Scheme 33, Karachi",,PK,24.960929,67.161759,pm25,59.5,µg/m³,2024-10-28T05:00:00Z
3182341,"Soomra Society, Scheme 33, Karachi",,PK,24.960929,67.161759,pm10,70.46666653951009,µg/m³,2024-10-28T05:00:00Z
3213801,"Soomra Society, Scheme 33, Karachi",,PK,24.960929,67.161759,pm25,31.045834223429363,µg/m³,2024-11-07T13:00:00Z
3213801,"Soomra Society, Scheme 33, Karachi",,PK,24.960929,67.161759,pm10,35.97500038146973,µg/m³,2024-11-07T13:00:00Z
3292849,Farhan Shah Labs,,PK,32.424312,74.52885,pm25,39.0,µg/m³,2026-07-19T22:00:00Z
3292849,Farhan Shah Labs,,PK,32.424312,74.52885,pm10,233.35611852010092,µg/m³,2025-01-13T23:00:00Z
4296966,Buraq integrated solutions,,PK,33.643208,73.068119,pm25,33.76099952061971,µg/m³,2025-05-17T08:00:00Z
4515157,"Barki, Lahore",,PK,31.4591591,74.5396309,pm25,46.4,µg/m³,2026-07-19T22:00:00Z
4515644,"F-7, Islamabad",,PK,33.7213352,73.0560998,pm25,41.4,µg/m³,2026-07-19T22:00:00Z
4527035,Civil Secretariat,,PK,31.565942,74.2993626,pm25,42.7,µg/m³,2026-07-19T22:00:00Z
4527173,Learning Alliance Intl. DHA,,PK,31.525621,74.436078,pm25,45.2,µg/m³,2026-07-19T22:00:00Z
4527306,FOOT & MOUTH DISEASE RESEARCH CENTRE,,PK,31.53574,74.43538,pm25,60.2,µg/m³,2026-07-19T22:00:00Z
4527402,"HBFC Society, DHA Phase 5 (Hussainy House)",,PK,31.4571645,74.4106586,pm25,40.1,µg/m³,2026-07-19T22:00:00Z
4535267,Gajju Matta (Kahna),,PK,31.377378,74.350574,pm25,44.9,µg/m³,2026-07-19T22:00:00Z
4554236,Rawalpindi Women University,,PK,33.6452478,73.0646181,pm25,39.3,µg/m³,2026-07-19T22:00:00Z
4554729,Sandha Road,,PK,31.562302,74.3027031,pm25,37.3,µg/m³,2026-07-19T22:00:00Z
4555745,Ravi Road,,PK,31.602875,74.300927,pm25,37.9,µg/m³,2026-07-19T22:00:00Z
4556719,"Wasa 3, OHR Office ",,PK,33.650973,73.0788731,pm25,36.3,µg/m³,2026-04-08T08:00:00Z
4557686,Shalimar Town,,PK,31.574289,74.447898,pm25,40.6,µg/m³,2026-07-19T14:00:00Z
4565419,Social Welfare Department,,PK,33.6278837,73.0924564,pm25,29.0,µg/m³,2026-05-04T08:00:00Z
4565932,WASA Head Office 1,,PK,33.6022915,73.0560117,pm25,40.2,µg/m³,2026-07-19T22:00:00Z
4565933,"IEEE, Punjab University, LHR",,PK,31.495322,74.295056,pm25,44.9,µg/m³,2026-07-19T22:00:00Z
4566426,Punjab Food Authority,,PK,33.6304566,73.0729694,pm25,36.7,µg/m³,2026-06-17T10:00:00Z
4566427,Johar Town,,PK,31.460056,74.280672,pm25,182.34890885786578,µg/m³,2026-01-08T05:00:00Z
4567363,Public Health Engineering,,PK,33.6335684,73.0614477,pm25,38.0,µg/m³,2026-07-19T22:00:00Z
4567364,"Conservator of Forest, North zone",,PK,33.540583,73.116917,pm25,45.0,µg/m³,2026-07-19T22:00:00Z
4567932,PHA Head Office,,PK,33.6055187,73.0611438,pm25,35.7,µg/m³,2026-04-27T05:00:00Z
4568423,Model Town,,PK,31.491676,74.313288,pm25,46.1,µg/m³,2026-07-19T22:00:00Z
4568424,E11/4 Sector Islamabad,,PK,33.698979,72.981907,pm25,40.2,µg/m³,2026-07-19T22:00:00Z
4579733,WASA 2 (Sufaid tanki),,PK,33.6386254,73.069351,pm25,32.2,µg/m³,2026-07-19T22:00:00Z
4600078,Abasyn University,,PK,34.0321798,71.5864122,pm25,41.9,µg/m³,2026-07-19T22:00:00Z
4605118,Small industrial development board(SIDB),,PK,33.9817904,71.5567563,pm25,34.7,µg/m³,2026-07-19T22:00:00Z
4605119,College Road,,PK,31.421799,74.274837,pm25,43.8,µg/m³,2026-07-19T22:00:00Z
4605120,Hayatabad phase 7,,PK,33.9687263,71.4147126,pm25,54.5,µg/m³,2026-06-12T02:00:00Z
4607067,Shaheed Benazir Women University,,PK,34.0559766,71.5646276,pm25,53.6,µg/m³,2026-07-05T23:00:00Z
4607068,NIUIP,,PK,33.9935232,71.4440704,pm25,15.4,µg/m³,2026-07-19T05:00:00Z
4608419,IMSciences Institute Peshwar,,PK,33.9581864,71.3343512,pm25,42.3,µg/m³,2026-07-19T22:00:00Z
4608421,"Assistant Commissioner Office, Allama Iqbal ",,PK,31.47188,74.239512,pm25,0.44476192338126047,µg/m³,2025-08-01T10:00:00Z
4608422,Park Road F-8/1 Sector Islamabad,,PK,33.7102628,73.0312832,pm25,7.9,µg/m³,2026-06-04T11:00:00Z
4608423,WWF Office ,,PK,33.9905988,71.4996196,pm25,37.0,µg/m³,2026-07-19T22:00:00Z
4609261,"Pajian, Raiwind",,PK,31.299695,74.22505,pm25,53.2,µg/m³,2026-07-19T22:00:00Z
4609262,Directorate General Local Gov ,,PK,33.9916663,71.435054,pm25,32.9,µg/m³,2026-07-17T12:00:00Z
4609307,Khyber Medical University ,,PK,33.989115,71.4359101,pm25,38.3,µg/m³,2026-07-17T09:00:00Z
4609353,Kahna Hospital ,,PK,31.371023502439286,74.36487268127355,pm25,55.7,µg/m³,2026-07-19T22:00:00Z
4609354,Ashrafia Colony,,PK,34.0268637,71.5772755,pm25,235.92280529869925,µg/m³,2026-01-11T10:00:00Z
4614770,EPA Office,,PK,33.977293,71.5654702,pm25,36.1,µg/m³,2026-07-17T14:00:00Z
4616262,District Health Authority,,PK,33.6333084,73.0488857,pm25,27.9,µg/m³,2026-07-14T06:00:00Z
4618315,DC Office Murree,,PK,33.9065558,73.3980069,pm25,59.238805474175344,µg/m³,2025-11-20T09:00:00Z
4618814,Gulberg III,,PK,31.508051,74.337544,pm25,49.5,µg/m³,2026-07-19T22:00:00Z
4629400,"PHA, Sialkot",,PK,32.505567,74.536067,pm25,1.6,µg/m³,2026-03-24T01:00:00Z
